股票类型,上市板块,总股本,每股收益,每股净资产,净资产收益率,每股资本公积金,每股现金流量
科技类,创业板,35007,1.07,8.97,9.38,3.89,3.55
食品类,创业板,32756,1.93,12.29,9.945,4.25,3.51
地产类,主板,90961,0.01,10.51,10.14,4.48,3.87
科技类,主板,68798,0.57,7.6,7.24,2.83,3.45
食品类,创业板,90174,0.07,10.57,8.745,3.56,3.37
医药类,创业板,41573,1.79,9.29,7.225,2.35,3.27
医药类,主板,42983,1.16,13.26,10.725,4.57,3.86
医药类,主板,29452,1.97,8.94,5.605,2.32,3.07
地产类,中小板,44990,1.16,10.6,10.04,4.39,3.51
食品类,创业板,59437,0.67,6.23,7.14,2.96,3.33
地产类,主板,77179,-0.36,11.63,2.605,4.69,3.57
科技类,创业板,61283,0.59,9.77,8.615,3.78,3.3
科技类,主板,59120,0.97,10.83,9.55,4.94,3.72
科技类,中小板,74619,0.68,13,11.25,4.97,3.92
医药类,中小板,72943,0.4,10.07,7.83,3.31,3.42
科技类,创业板,52132,1.09,10.16,10.49,4.77,3.68
地产类,主板,34334,1.6,12.82,11.585,5.04,3.73
医药类,中小板,74824,0.16,8.62,7.785,3.17,3.29
医药类,主板,52777,1.37,12.37,10.295,4.77,3.94
科技类,主板,84213,0.27,9.36,9.58,4.07,3.85
科技类,主板,41387,1.53,11.35,8.07,3.15,3.33
医药类,中小板,29115,1.92,11.63,8.775,3.68,3.38
科技类,主板,60752,0.93,11.26,10.125,4.04,3.47
地产类,中小板,36608,1.87,13.82,10.7,4.68,3.75
食品类,主板,62776,1.28,10.66,10.16,4.48,3.44
地产类,主板,15520,2.73,16.97,9.995,4.25,3.75
食品类,主板,15151,2.2,12.5,9.095,3.93,3.85
医药类,主板,63796,0.96,5.79,6.685,2.18,3.36
科技类,创业板,56619,0.89,9.04,10.02,4.01,3.49
医药类,创业板,67421,0.49,12.37,11.045,5,3.76
科技类,中小板,9675,2.7,15.7,12.295,5.54,3.84
食品类,主板,74252,0.63,9.05,9.04,4.17,3.68
地产类,主板,74010,0.24,7.45,7.61,2.08,3.06
地产类,主板,70641,0.68,12.41,9.585,4.35,3.59
科技类,中小板,65728,0.6,8.55,5.9,2.09,3.15
医药类,创业板,92201,0.17,10.84,10.895,4.19,3.59
食品类,创业板,20924,2.24,13.78,10.435,4.61,3.72
医药类,创业板,38338,1.57,11.32,9.5,4.11,3.45
食品类,创业板,58194,0.98,9.83,10.13,4.39,3.71
地产类,创业板,33860,1.28,8.89,8.81,3.72,3.62
食品类,主板,51711,1.15,13.76,11.315,4.73,3.73
食品类,中小板,64925,0.85,7.77,6.8,2.73,3.5
地产类,中小板,36927,1.49,12.11,9.32,3.9,2.92
地产类,中小板,63142,0.6,8.3,7.095,2.08,3.29
食品类,创业板,60998,1.06,7.92,9.085,3.89,3.67
食品类,主板,33865,1.92,9.33,8.945,3.68,3.67
食品类,中小板,30052,1.91,16.13,12.51,5.62,3.79
医药类,主板,69518,0.92,10.52,9.235,3.5,3.21
食品类,中小板,46612,1.45,11.97,9.245,3.77,3.45
科技类,中小板,64444,0.54,11,9.305,3.51,3.58
食品类,创业板,33112,2.16,15.16,10.025,4.82,3.64
科技类,主板,75546,0.98,9.63,8.26,3.28,3.34
食品类,创业板,23138,2.45,14.48,11.29,5.25,3.7
科技类,创业板,65307,0.34,7.43,6.125,1.94,3.4
医药类,中小板,59284,1.07,14.16,9.8,4.38,3.57
医药类,主板,55360,1.18,13.32,9.77,3.84,3.35
食品类,创业板,63350,0.73,9.79,8.375,3.3,3.5
科技类,主板,57969,1.33,12.14,9.445,3.84,3.75
科技类,主板,37239,1.99,10.45,9.11,3.6,3.62
医药类,主板,44646,1.2,13.32,10.12,4.45,3.83
科技类,主板,57198,0.74,6.77,6.545,1.98,2.98
食品类,中小板,23743,1.44,8.44,10.17,4.11,3.51
地产类,主板,32321,1.38,13.64,11.355,4.86,3.89
医药类,主板,91542,-0.39,12.6,2.2,4.5,3.65
科技类,主板,8015,2.88,16.54,11.4,5.12,3.84
医药类,创业板,25230,1.86,13.92,10.565,5.21,3.69
地产类,主板,69809,0.49,8.44,6.715,2.67,3.23
科技类,创业板,71773,0.35,11,10.235,4.9,3.77
医药类,主板,66797,1.26,11.96,9.44,4.05,3.81
食品类,中小板,51137,0.85,9.83,7.82,2.78,3.29
科技类,中小板,56478,1.29,10.44,9.135,3.43,3.43
食品类,创业板,31907,1.73,13.85,10.24,4.1,3.47
科技类,中小板,36956,1.37,8.47,8.045,2.66,3.42
食品类,主板,44751,1.23,12.59,8.16,2.59,3.16
医药类,创业板,31307,2.52,13.14,10.59,4.73,3.83
地产类,创业板,66423,0.63,10.88,8.945,3.77,3.56
地产类,主板,17515,2.44,15.56,10.325,4.42,3.46
科技类,主板,29392,1.69,10.28,8.655,3.76,3.18
地产类,中小板,24761,1.75,12.77,9.01,3.23,3.43
科技类,中小板,57844,0.91,9.17,8.12,3.01,3.25
科技类,主板,27371,1.67,13.03,10.665,4.63,3.74
医药类,主板,60883,1.17,10.37,9.27,3.67,3.63
科技类,中小板,73532,-0.12,7.11,2.25,2.07,3
医药类,中小板,50505,1.13,8.49,8.89,3.21,3.38
医药类,创业板,36918,1.99,11.96,9.58,3.77,3.71
医药类,创业板,60073,1.05,12.97,10.675,4.6,3.79
医药类,创业板,24558,2.04,10.57,10.38,4.4,3.79
食品类,创业板,48465,1.59,12.17,10.17,4.56,3.73
科技类,主板,23094,2.39,11.04,7.995,3.29,3.32
医药类,主板,44674,1.57,10.92,8.855,4.47,3.48
地产类,主板,71751,0.37,9.14,7.72,3.04,3.39
医药类,主板,64011,0.77,6.25,5.86,2.02,3.11
地产类,中小板,60303,0.78,8.90,8.80,3.66,3.52
医药类,主板,41145,1.13,11.83,9.62,3.57,3.56
医药类,创业板,34230,2.00,11.69,9.23,3.74,3.38
食品类,主板,32864,1.77,8.41,8.71,3.48,3.54
医药类,创业板,35072,1.91,9.68,10.74,4.29,3.70
