"排名","国家/地区","所在洲","年份","GDP(美元)","占世界比重"
"140","毛里求斯","非洲","2023","143.97亿 (14,397,127,281)","0.0137%"
"141","巴哈马","美洲","2023","143.38亿 (14,338,500,000)","0.0136%"
"142","卢旺达","非洲","2023","140.98亿 (14,097,768,647)","0.0134%"
"143","马拉维","非洲","2023","140.84亿 (14,084,341,062)","0.0134%"
"144","吉尔吉斯斯坦","亚洲","2023","139.88亿 (13,987,627,908)","0.0133%"
"145","乍得","非洲","2023","131.49亿 (13,149,325,358)","0.0125%"
"146","纳米比亚","非洲","2023","123.51亿 (12,351,024,843)","0.0117%"
"147","赤道几内亚","非洲","2023","121.17亿 (12,116,922,539)","0.0115%"
"148","塔吉克斯坦","亚洲","2023","120.61亿 (12,060,602,008)","0.0114%"
"149","索马里","非洲","2023","116.80亿 (11,679,800,110)","0.0111%"
"150","毛里塔尼亚","非洲","2023","104.53亿 (10,452,577,062)","0.0099%"
"151","新喀里多尼亚","大洋洲","2022","96.23亿 (9,623,318,718)","&nbsp;"
"152","多哥","非洲","2023","91.71亿 (9,171,261,835)","0.0087%"
"153","叙利亚","亚洲","2021","89.80亿 (8,980,060,818)","&nbsp;"
"154","摩纳哥","欧洲","2022","87.84亿 (8,784,002,931)","&nbsp;"
"155","马恩岛","欧洲","2021","79.31亿 (7,931,193,222)","&nbsp;"
"156","百慕大","美洲","2022","78.28亿 (7,827,980,000)","&nbsp;"
"157","黑山","欧洲","2023","74.05亿 (7,404,541,964)","0.0070%"
"158","列支敦士登","欧洲","2022","73.65亿 (7,364,654,515)","&nbsp;"
"159","关岛","大洋洲","2022","69.10亿 (6,910,000,000)","&nbsp;"
"160","开曼群岛","美洲","2022","66.01亿 (6,600,844,001)","&nbsp;"
"161","马尔代夫","亚洲","2023","66.00亿 (6,600,000,000)","0.0063%"
"162","巴巴多斯","美洲","2023","63.94亿 (6,393,564,189)","0.0061%"
"163","法属波利尼西亚","大洋洲","2022","58.15亿 (5,814,661,208)","&nbsp;"
"164","斐济群岛","大洋洲","2023","54.95亿 (5,494,797,540)","0.0052%"
"165","斯威士兰","非洲","2023","45.98亿 (4,597,855,845)","0.0044%"
"166","利比里亚","非洲","2023","43.32亿 (4,332,000,000)","0.0041%"
"167","吉布提","非洲","2023","40.99亿 (4,098,530,513)","0.0039%"
"168","塞拉利昂","非洲","2023","38.10亿 (3,809,832,236)","0.0036%"
"169","苏里南","美洲","2023","37.82亿 (3,782,437,296)","0.0036%"
"170","安道尔","欧洲","2023","37.28亿 (3,727,673,593)","0.0035%"
"171","法罗群岛","欧洲","2022","35.56亿 (3,555,929,833)","&nbsp;"
"172","阿鲁巴","美洲","2022","35.45亿 (3,544,707,788)","&nbsp;"
"173","伯利兹","美洲","2023","32.82亿 (3,281,500,000)","0.0031%"
"174","格陵兰","美洲","2021","32.36亿 (3,235,809,504)","&nbsp;"
"175","库拉索","美洲","2022","30.74亿 (3,073,840,325)","&nbsp;"
"176","不丹","亚洲","2022","28.98亿 (2,898,227,713)","&nbsp;"
"177","布隆迪","非洲","2023","26.42亿 (2,642,161,668)","0.0025%"
"178","佛得角","非洲","2023","25.87亿 (2,587,252,076)","0.0025%"
"179","中非","非洲","2023","25.55亿 (2,555,492,085)","0.0024%"
"180","圣卢西亚","美洲","2023","25.20亿 (2,519,925,938)","0.0024%"
"181","冈比亚","非洲","2023","23.40亿 (2,339,904,156)","0.0022%"
"182","东帝汶","亚洲","2023","22.43亿 (2,243,142,908)","0.0021%"
"183","塞舌尔","非洲","2023","21.41亿 (2,141,450,171)","0.0020%"
"184","莱索托","非洲","2023","20.46亿 (2,046,039,024)","0.0019%"
"185","安提瓜和巴布达","美洲","2023","20.33亿 (2,033,085,185)","0.0019%"
"186","几内亚比绍","非洲","2023","19.66亿 (1,966,461,400)","0.0019%"
"187","圣马力诺","欧洲","2021","18.55亿 (1,855,382,833)","&nbsp;"
"188","所罗门群岛","大洋洲","2023","16.31亿 (1,631,286,701)","0.0015%"
"189","荷属圣马丁","美洲","2023","16.23亿 (1,623,165,683)","0.0015%"
"190","特克斯和凯科斯群岛","美洲","2023","14.02亿 (1,402,054,390)","0.0013%"
"191","科摩罗","非洲","2023","13.52亿 (1,352,380,972)","0.0013%"
"192","格林纳达","美洲","2023","13.20亿 (1,320,334,235)","0.0013%"
"193","瓦努阿图","大洋洲","2023","11.26亿 (1,126,313,359)","0.0011%"
"194","圣基茨和尼维斯","美洲","2023","10.77亿 (1,077,033,111)","0.0010%"
"195","圣文森特和格林纳丁斯","美洲","2023","10.66亿 (1,065,962,962)","0.0010%"
"196","萨摩亚","大洋洲","2023","9.34亿 (934,100,336)","0.0009%"
"197","美属萨摩亚","大洋洲","2022","8.71亿 (871,000,000)","&nbsp;"
"198","多米尼克","美洲","2023","6.54亿 (653,992,592)","0.0006%"
"199","法属圣马丁","美洲","2021","6.49亿 (649,206,262)","&nbsp;"
"200","圣多美和普林西比","非洲","2023","6.03亿 (603,240,748)","0.0006%"
"201","汤加","大洋洲","2022","5.00亿 (500,274,898)","&nbsp;"
"202","密克罗尼西亚联邦","大洋洲","2023","4.60亿 (460,000,000)","0.0004%"
"203","马绍尔群岛","大洋洲","2023","2.84亿 (284,000,000)","0.0003%"
"204","基里巴斯","大洋洲","2023","2.79亿 (279,034,355)","0.0003%"
"205","帕劳","大洋洲","2023","2.63亿 (263,020,733)","0.0002%"
"206","瑙鲁","大洋洲","2023","1.54亿 (154,127,798)","0.0001%"
"207","图瓦卢","大洋洲","2023","6228万 (62,280,311)","0.0001%"
